,CpuPercent,Latency
0,0.75,1.0319069981575013
0,0.75,1.0319069981575013
1,0.75,0.921299684047699
0,0.75,1.0319069981575013
1,0.75,0.921299684047699
2,1.0,0.9584121823310852
0,0.75,1.0319069981575013
1,0.75,0.921299684047699
2,1.0,0.9584121823310852
3,0.75,0.8657716393470765
0,0.75,1.0319069981575013
1,0.75,0.921299684047699
2,1.0,0.9584121823310852
3,0.75,0.8657716393470765
4,1.0,0.8599636316299438
0,0.75,1.0319069981575013
1,0.75,0.921299684047699
2,1.0,0.9584121823310852
3,0.75,0.8657716393470765
4,1.0,0.8599636316299438
5,1.0,0.904549491405487
0,0.75,1.0319069981575013
1,0.75,0.921299684047699
2,1.0,0.9584121823310852
3,0.75,0.8657716393470765
4,1.0,0.8599636316299438
5,1.0,0.904549491405487
6,0.75,0.7481756567955017
0,0.75,1.0319069981575013
1,0.75,0.921299684047699
2,1.0,0.9584121823310852
3,0.75,0.8657716393470765
4,1.0,0.8599636316299438
5,1.0,0.904549491405487
6,0.75,0.7481756567955017
7,1.0,1.2465929985046387
0,0.75,1.0319069981575013
1,0.75,0.921299684047699
2,1.0,0.9584121823310852
3,0.75,0.8657716393470765
4,1.0,0.8599636316299438
5,1.0,0.904549491405487
6,0.75,0.7481756567955017
7,1.0,1.2465929985046387
8,1.0,0.7562387108802795
0,0.75,1.0319069981575013
1,0.75,0.921299684047699
2,1.0,0.9584121823310852
3,0.75,0.8657716393470765
4,1.0,0.8599636316299438
5,1.0,0.904549491405487
6,0.75,0.7481756567955017
7,1.0,1.2465929985046387
8,1.0,0.7562387108802795
9,1.0,0.9712453007698059
0,0.88,2.3869584083557127
0,0.88,1.9643135786056518
0,0.75,0.8060198903083802
0,0.75,0.8060198903083802
1,0.75,0.837698495388031
0,0.75,0.8060198903083802
1,0.75,0.837698495388031
2,1.0,0.8592120170593261
0,0.75,0.8060198903083802
1,0.75,0.837698495388031
2,1.0,0.8592120170593261
3,0.75,0.8101454496383667
0,0.75,0.8060198903083802
1,0.75,0.837698495388031
2,1.0,0.8592120170593261
3,0.75,0.8101454496383667
4,1.0,0.8725653529167176
0,0.75,0.8060198903083802
1,0.75,0.837698495388031
