,CpuPercent,Latency
0,0.75,1.3546654343605042
0,0.75,1.3546654343605042
1,0.75,0.9693200588226318
0,0.75,1.3546654343605042
1,0.75,0.9693200588226318
2,1.0,1.2476012229919433
0,0.75,1.3546654343605042
1,0.75,0.9693200588226318
2,1.0,1.2476012229919433
3,0.75,1.0120656609535217
0,0.75,1.3546654343605042
1,0.75,0.9693200588226318
2,1.0,1.2476012229919433
3,0.75,1.0120656609535217
4,1.0,1.3437940418720244
0,0.75,1.3546654343605042
1,0.75,0.9693200588226318
2,1.0,1.2476012229919433
3,0.75,1.0120656609535217
4,1.0,1.3437940418720244
5,1.0,0.8541883170604706
0,0.75,1.3546654343605042
1,0.75,0.9693200588226318
2,1.0,1.2476012229919433
3,0.75,1.0120656609535217
4,1.0,1.3437940418720244
5,1.0,0.8541883170604706
6,0.75,0.7813385546207428
0,0.75,1.3546654343605042
1,0.75,0.9693200588226318
2,1.0,1.2476012229919433
3,0.75,1.0120656609535217
4,1.0,1.3437940418720244
5,1.0,0.8541883170604706
6,0.75,0.7813385546207428
7,1.0,1.1911599516868592
0,0.75,1.3546654343605042
1,0.75,0.9693200588226318
2,1.0,1.2476012229919433
3,0.75,1.0120656609535217
4,1.0,1.3437940418720244
5,1.0,0.8541883170604706
6,0.75,0.7813385546207428
7,1.0,1.1911599516868592
8,1.0,0.8818374454975129
0,0.75,1.3546654343605042
1,0.75,0.9693200588226318
2,1.0,1.2476012229919433
3,0.75,1.0120656609535217
4,1.0,1.3437940418720244
5,1.0,0.8541883170604706
6,0.75,0.7813385546207428
7,1.0,1.1911599516868592
8,1.0,0.8818374454975129
9,1.0,1.0584564685821534
0,0.88,2.294094979763031
0,0.88,2.288014513254166
0,0.75,0.814144629240036
0,0.75,0.814144629240036
1,0.75,0.82699334025383
0,0.75,0.814144629240036
1,0.75,0.82699334025383
2,1.0,0.8354275107383728
0,0.75,0.814144629240036
1,0.75,0.82699334025383
2,1.0,0.8354275107383728
3,0.75,0.8093516230583191
0,0.75,0.814144629240036
1,0.75,0.82699334025383
2,1.0,0.8354275107383728
3,0.75,0.8093516230583191
4,1.0,0.8467011690139771
0,0.75,0.814144629240036
1,0.75,0.82699334025383
2,1.0,0.8354275107383728
3,0.75,0.8093516230583191
4,1.0,0.8467011690139771
5,1.0,0.8195892333984375
0,0.75,0.814144629240036
1,0.75,0.82699334025383
2,1.0,0.8354275107383728
3,0.75,0.8093516230583191
4,1.0,0.8467011690139771
5,1.0,0.8195892333984375
6,0.75,0.762559998035431
0,0.75,0.814144629240036
1,0.75,0.82699334025383
2,1.0,0.8354275107383728
3,0.75,0.8093516230583191
4,1.0,0.8467011690139771
5,1.0,0.8195892333984375
6,0.75,0.762559998035431
7,1.0,0.845031076669693
0,0.75,0.814144629240036
1,0.75,0.82699334025383
2,1.0,0.8354275107383728
3,0.75,0.8093516230583191
4,1.0,0.8467011690139771
5,1.0,0.8195892333984375
6,0.75,0.762559998035431
7,1.0,0.845031076669693
8,1.0,0.7680998861789703
0,0.75,0.814144629240036
1,0.75,0.82699334025383
2,1.0,0.8354275107383728
3,0.75,0.8093516230583191
4,1.0,0.8467011690139771
5,1.0,0.8195892333984375
6,0.75,0.762559998035431
7,1.0,0.845031076669693
8,1.0,0.7680998861789703
9,1.0,0.786795049905777
0,0.88,1.6210747957229614
0,0.75,0.9140378117561341
0,0.75,0.9140378117561341
1,0.75,1.0076571881771088
0,0.75,0.9140378117561341
1,0.75,1.0076571881771088
2,1.0,0.9238112807273865
0,0.75,0.9140378117561341
1,0.75,1.0076571881771088
2,1.0,0.9238112807273865
3,0.75,1.519954264163971
0,0.75,0.9140378117561341
1,0.75,1.0076571881771088
2,1.0,0.9238112807273865
3,0.75,1.519954264163971
4,1.0,0.8996701598167419
0,0.75,0.9140378117561341
1,0.75,1.0076571881771088
2,1.0,0.9238112807273865
3,0.75,1.519954264163971
4,1.0,0.8996701598167419
5,1.0,0.9730393171310425
0,0.75,0.9140378117561341
1,0.75,1.0076571881771088
2,1.0,0.9238112807273865
3,0.75,1.519954264163971
4,1.0,0.8996701598167419
5,1.0,0.9730393171310425
6,0.75,0.8852486610412598
0,0.75,0.9140378117561341
1,0.75,1.0076571881771088
2,1.0,0.9238112807273865
3,0.75,1.519954264163971
4,1.0,0.8996701598167419
5,1.0,0.9730393171310425
6,0.75,0.8852486610412598
7,1.0,0.9319576978683471
0,0.75,0.9140378117561341
1,0.75,1.0076571881771088
2,1.0,0.9238112807273865
3,0.75,1.519954264163971
4,1.0,0.8996701598167419
5,1.0,0.9730393171310425
6,0.75,0.8852486610412598
7,1.0,0.9319576978683471
8,1.0,0.9250229716300964
0,0.75,0.9140378117561341
1,0.75,1.0076571881771088
2,1.0,0.9238112807273865
3,0.75,1.519954264163971
4,1.0,0.8996701598167419
5,1.0,0.9730393171310425
6,0.75,0.8852486610412598
7,1.0,0.9319576978683471
8,1.0,0.9250229716300964
9,1.0,0.8904071152210236
0,1.0,0.8411590337753296
0,1.0,0.8411590337753296
1,1.0,0.7951757848262787
0,1.0,0.8411590337753296
1,1.0,0.7951757848262787
2,1.0,0.807445865869522
0,1.0,0.8411590337753296
1,1.0,0.7951757848262787
2,1.0,0.807445865869522
3,1.0,0.8584468185901641
0,1.0,0.8411590337753296
1,1.0,0.7951757848262787
2,1.0,0.807445865869522
3,1.0,0.8584468185901641
4,1.0,0.7649297952651978
0,1.0,0.8411590337753296
1,1.0,0.7951757848262787
2,1.0,0.807445865869522
3,1.0,0.8584468185901641
4,1.0,0.7649297952651978
5,1.0,0.8703855752944947
0,1.0,0.8411590337753296
1,1.0,0.7951757848262787
2,1.0,0.807445865869522
3,1.0,0.8584468185901641
4,1.0,0.7649297952651978
5,1.0,0.8703855752944947
6,1.0,0.7616015613079071
0,1.0,0.8411590337753296
1,1.0,0.7951757848262787
2,1.0,0.807445865869522
3,1.0,0.8584468185901641
4,1.0,0.7649297952651978
5,1.0,0.8703855752944947
6,1.0,0.7616015613079071
7,1.0,0.7803035259246827
0,1.0,0.8411590337753296
1,1.0,0.7951757848262787
2,1.0,0.807445865869522
3,1.0,0.8584468185901641
4,1.0,0.7649297952651978
5,1.0,0.8703855752944947
6,1.0,0.7616015613079071
7,1.0,0.7803035259246827
8,1.0,0.7824427247047424
0,0.88,0.8849351882934571
0,0.88,0.8849351882934571
1,0.88,0.8935320258140564
0,0.88,0.8849351882934571
1,0.88,0.8935320258140564
2,0.88,0.874062317609787
0,0.88,0.815208899974823
0,0.88,0.7033105075359345
0,0.88,0.7033105075359345
1,0.88,0.7135761678218842
0,0.88,0.7033105075359345
1,0.88,0.7135761678218842
2,0.88,0.7113684475421905
