,fault-losso,fault-knn,fault-svm,fault-xgboost,fault-ensmeble,wafer-auto,wafer-statis,wafer-cnn,wafer-svm,wafer-ensemble,wafer-ensembleLatency,fault-ensembleLatency
0,1,1,2,2,2,0,1,1,0,1,22.674134225845336,8.35063726902008
1,1,2,1,2,2,0,1,1,0,1,23.547452254295354,7.798532838821411
2,1,2,2,2,1,0,1,1,0,1,24.257939081192017,12.52155668258667
3,1,2,2,2,2,0,1,1,0,1,23.2698232793808,10.232556066513062
4,2,1,1,2,2,0,1,1,0,1,19.384287929534914,2.2797924852371216
5,2,1,2,2,1,0,1,1,0,1,21.022053527832032,2.912222623825073
6,2,1,2,2,2,0,1,1,0,1,19.591174535751342,2.3964645004272462
7,2,2,1,2,1,0,1,1,0,1,19.012593207359316,2.3519043350219726
8,2,2,1,2,2,0,1,1,0,1,19.17490741729736,2.124156770706177
9,2,2,2,2,1,0,1,1,0,1,20.682023024559022,2.2709280681610107
10,1,1,1,2,2,0,1,1,0,2,26.991362285614013,2.767426438331604
11,1,1,2,2,1,0,1,1,0,2,26.431080017089844,6.441080656051637
12,1,1,2,2,2,0,1,1,0,2,26.793569765090947,3.9789605808258055
13,1,2,1,2,1,0,1,1,0,2,25.64949612617493,7.6848314571380625
14,1,2,1,2,2,0,1,1,0,2,26.07882043838501,3.2120199680328367
15,1,2,2,2,1,0,1,1,0,2,25.568686051368715,10.546297039985657
16,2,1,1,2,1,0,1,1,0,2,19.5192520236969,2.596001834869385
17,2,1,1,2,2,0,1,1,0,2,21.102475872039797,2.3244828176498413
18,2,1,2,2,1,0,1,1,0,2,20.508779549598685,2.4261842918396
19,2,2,1,2,1,0,1,1,0,2,20.10479218006134,2.747727370262146
20,1,1,1,2,2,0,1,2,0,1,21.11590231895447,2.250214343070984
21,1,1,2,2,1,0,1,2,0,1,21.551882548332216,4.998551149368286
22,1,2,1,2,1,0,1,2,0,1,21.520367817878718,4.820620789527894
23,2,1,1,2,1,0,1,2,0,1,15.209918217658995,8.840444221496583
24,1,1,1,2,1,0,1,2,0,2,42.04124578475953,4.0064440536499015
25,1,1,1,2,2,0,2,1,0,1,10.090642971992493,3.364347972869873
26,1,1,2,2,1,0,2,1,0,1,9.700893926620484,8.919598155021667
27,1,2,1,2,1,0,2,1,0,1,9.296324515342713,8.880978002548217
28,2,1,1,2,1,0,2,1,0,1,10.378927021026609,2.383893032073974
29,1,1,1,2,1,0,2,1,0,2,40.58073379993439,5.987352437973023
30,1,1,1,2,1,0,2,2,0,1,10.997154717445374,4.308830976486206
31,1,1,2,2,2,1,0,1,0,1,117.64930126190184,10.201166687011721
