,fault-losso,fault-knn,fault-svm,fault-xgboost,fault-ensmeble,wafer-auto,wafer-statis,wafer-cnn,wafer-svm,wafer-ensemble,wafer-ensembleLatency,fault-ensembleLatency
0,1,1,2,2,2,0,1,1,0,1,40.48600954711437,13.335722663998606
1,1,2,1,2,2,0,1,1,0,1,41.86397307515144,12.450583791732788
2,1,2,2,2,1,0,1,1,0,1,43.07350782752037,20.350786343216893
3,1,2,2,2,2,0,1,1,0,1,40.719646194577216,17.17471123933792
4,2,1,1,2,2,0,1,1,0,1,33.88713768422603,2.2889362573623657
5,2,1,2,2,1,0,1,1,0,1,37.42063605487347,3.22341710627079
6,2,1,2,2,2,0,1,1,0,1,34.11866592764854,2.3753307491540907
7,2,2,1,2,1,0,1,1,0,1,34.03107756972313,2.4289731651544573
8,2,2,1,2,2,0,1,1,0,1,33.61157547533512,2.142757201194763
9,2,2,2,2,1,0,1,1,0,1,36.204691368341436,2.691544115543365
10,1,1,1,2,2,0,1,1,0,2,48.433016750216474,3.2079431116580963
11,1,1,2,2,1,0,1,1,0,2,47.61700168550014,10.045266142487526
12,1,1,2,2,2,0,1,1,0,2,47.035778152942655,6.1251452475786206
13,1,2,1,2,1,0,1,1,0,2,45.52457031011581,11.913700413703918
14,1,2,1,2,2,0,1,1,0,2,45.99522942304611,4.640715503692627
15,1,2,2,2,1,0,1,1,0,2,46.03145038783551,17.2232425570488
16,2,1,1,2,1,0,1,1,0,2,35.741164696216586,2.7142293453216557
17,2,1,1,2,2,0,1,1,0,2,40.9730845540762,2.3387438744306563
18,2,1,2,2,1,0,1,1,0,2,37.52663699984551,2.6009043186903
19,2,2,1,2,1,0,1,1,0,2,36.69321765005589,2.629174181818962
20,1,1,1,2,2,0,1,2,0,1,38.00600857436657,2.262715482711792
21,1,1,2,2,1,0,1,2,0,1,39.061011284589775,7.3922456979751585
22,1,2,1,2,1,0,1,2,0,1,38.42317821085453,6.8174581706523885
23,2,1,1,2,1,0,1,2,0,1,27.465727108716965,21.454471427202225
24,1,1,1,2,1,0,1,2,0,2,70.6846668213606,4.865309783816338
25,1,1,1,2,2,0,2,1,0,1,19.03062182366848,4.887031856179237
26,1,1,2,2,1,0,2,1,0,1,18.214103293418887,14.03937408030033
27,1,2,1,2,1,0,2,1,0,1,17.906554812192915,14.100413870811462
28,2,1,1,2,1,0,2,1,0,1,19.931041359901425,2.3655114740133287
29,1,1,1,2,1,0,2,1,0,2,69.06804183721542,8.499513593316077
30,1,1,1,2,1,0,2,2,0,1,20.144724687933927,5.624025538563728
31,1,1,1,2,2,1,1,0,0,2,36.820072191953656,2.9988703310489653
32,1,1,2,2,1,1,1,0,0,2,37.538974365592,9.327030286192894
33,1,1,2,2,2,1,1,0,0,2,33.059936261177064,5.610802328586578
34,1,2,1,2,1,1,1,0,0,2,40.54463850259781,9.025338745117187
35,1,2,1,2,2,1,1,0,0,2,31.993068701028825,3.4952879399061203
36,1,2,2,2,1,1,1,0,0,2,34.134813651442535,12.65621227324009
37,2,1,1,2,1,1,1,0,0,2,29.837599915266036,2.3065801173448564
38,2,1,1,2,2,1,1,0,0,2,26.80555219352245,2.3540290772914885
39,2,1,2,2,1,1,1,0,0,2,30.57788810133934,2.4542066246271133
40,2,2,1,2,1,1,1,0,0,2,29.2307286977768,2.1350194662809368
41,2,0,2,2,2,1,1,1,0,1,34.9105594009161,2.9243243992328645
42,2,2,0,2,2,1,1,1,0,1,34.88647398352623,2.5054878890514374
43,1,0,2,2,2,1,1,1,0,2,44.52232687771321,18.27428317666054
44,1,2,0,2,2,1,1,1,0,2,45.73126051425935,22.947939226031302
45,2,0,1,2,2,1,1,1,0,2,32.416613668203354,3.4964044749736787
46,2,0,2,2,1,1,1,1,0,2,36.71176098883152,2.984013694524765
47,2,1,0,2,2,1,1,1,0,2,34.02291300296783,2.550332415103912
48,2,2,0,2,1,1,1,1,0,2,37.069534587860105,2.5859776884317403
49,1,0,1,2,2,1,1,2,0,1,52.42986803650856,8.747754925489426
50,1,0,2,2,1,1,1,2,0,1,37.75609593093395,14.651157942414287
51,1,1,0,2,2,1,1,2,0,1,38.79168610870838,5.382736611366272
