,fault-losso,fault-knn,fault-svm,fault-xgboost,fault-ensmeble,wafer-auto,wafer-statis,wafer-cnn,wafer-svm,wafer-ensemble,wafer-ensembleLatency,fault-ensembleLatency
0,1,1,2,2,2,0,1,1,0,1,4.983701992034912,2.7813300848007203
1,1,2,1,2,2,0,1,1,0,1,4.958219265937805,2.4731024980545038
2,1,2,2,2,1,0,1,1,0,1,4.789832878112793,3.7716104984283447
3,1,2,2,2,2,0,1,1,0,1,4.784285306930542,3.0302418470382686
4,2,1,1,2,2,0,1,1,0,1,4.90467221736908,2.2337666988372797
5,2,1,2,2,1,0,1,1,0,1,4.752126097679137,2.515552473068237
6,2,1,2,2,2,0,1,1,0,1,4.66675386428833,2.5491507291793822
7,2,2,1,2,1,0,1,1,0,1,4.956155395507811,2.390955352783203
8,2,2,1,2,2,0,1,1,0,1,4.624975681304932,2.1624218225479126
9,2,2,2,2,1,0,1,1,0,1,4.7776189088821415,2.3054551124572757
10,1,1,1,2,2,0,1,1,0,2,4.99393949508667,2.5105341196060182
11,1,1,2,2,1,0,1,1,0,2,5.126115298271179,2.8345310926437377
12,1,1,2,2,2,0,1,1,0,2,5.21911940574646,2.416780424118042
13,1,2,1,2,1,0,1,1,0,2,5.18743064403534,2.9868432998657233
14,1,2,1,2,2,0,1,1,0,2,4.930047988891602,2.2772677421569822
15,1,2,2,2,1,0,1,1,0,2,5.44406373500824,3.2353668212890625
16,2,1,1,2,1,0,1,1,0,2,5.063631224632263,2.5844740867614746
17,2,1,1,2,2,0,1,1,0,2,6.240130996704101,2.3144966840744017
18,2,1,2,2,1,0,1,1,0,2,4.839866042137147,2.5394682168960565
19,2,2,1,2,1,0,1,1,0,2,4.762332487106323,2.1826972007751464
20,1,1,1,2,2,0,1,2,0,1,4.146609497070313,2.347061109542847
21,1,1,2,2,1,0,1,2,0,1,4.221972942352295,2.72925922870636
22,1,2,1,2,1,0,1,2,0,1,4.402873516082764,2.704537534713745
23,2,1,1,2,1,0,1,2,0,1,3.94679172039032,3.0535157442092897
24,1,1,1,2,1,0,1,2,0,2,14.330153656005859,2.787895965576172
25,1,1,1,2,2,0,2,1,0,1,3.105321431159973,2.8864243984222413
