,fault-losso,fault-knn,fault-svm,fault-xgboost,fault-ensmeble,wafer-auto,wafer-statis,wafer-cnn,wafer-svm,wafer-ensemble,wafer-ensembleLatency,fault-ensembleLatency
0,1,1,2,2,2,0,1,1,0,1,11.81870079835256,5.054941956202189
1,1,2,1,2,2,0,1,1,0,1,12.380931615829468,4.955825448036193
2,1,2,2,2,1,0,1,1,0,1,12.495846168200176,7.867895030975343
3,1,2,2,2,2,0,1,1,0,1,12.256897330284119,6.109500511487325
4,2,1,1,2,2,0,1,1,0,1,10.55598533153534,2.258975036938985
5,2,1,2,2,1,0,1,1,0,1,11.244173137346904,2.692141000429789
6,2,1,2,2,2,0,1,1,0,1,10.632686511675518,2.3975488185882567
7,2,2,1,2,1,0,1,1,0,1,10.376161901156108,2.358966072400411
8,2,2,1,2,2,0,1,1,0,1,10.500586517651877,2.1334808111190795
9,2,2,2,2,1,0,1,1,0,1,11.102258133888245,2.2047545194625853
10,1,1,1,2,2,0,1,1,0,2,13.036651595433552,2.5470978736877443
11,1,1,2,2,1,0,1,1,0,2,13.370426909128824,4.485405500729879
12,1,1,2,2,2,0,1,1,0,2,13.29272108078003,2.9155121723810837
13,1,2,1,2,1,0,1,1,0,2,13.258670671780903,5.228225549062093
14,1,2,1,2,2,0,1,1,0,2,12.726987441380821,2.6813876390457154
15,1,2,2,2,1,0,1,1,0,2,13.160382286707561,6.401751255989074
16,2,1,1,2,1,0,1,1,0,2,10.424379571278891,2.5356012980143228
17,2,1,1,2,2,0,1,1,0,2,11.85491377512614,2.293216021855672
18,2,1,2,2,1,0,1,1,0,2,11.172896655400594,2.4652406056722005
19,2,2,1,2,1,0,1,1,0,2,10.138047297795612,2.663842860857646
20,1,1,1,2,2,0,1,2,0,1,10.862915658950806,2.281467572848002
21,1,1,2,2,1,0,1,2,0,1,10.966472093264263,3.7199865738550817
22,1,2,1,2,1,0,1,2,0,1,11.001854689915977,3.613228003184001
23,2,1,1,2,1,0,1,2,0,1,8.131908305486043,5.143185035387675
24,1,1,1,2,1,0,1,2,0,2,25.73936632474264,3.3517712116241456
25,1,1,1,2,2,0,2,1,0,1,4.8397448539733885,2.862334314982097
26,1,1,2,2,1,0,2,1,0,1,4.723184744517009,5.900757400194803
27,1,2,1,2,1,0,2,1,0,1,4.404938968022664,5.712783098220825
28,2,1,1,2,1,0,2,1,0,1,4.976236891746521,2.399854747454325
29,1,1,1,2,1,0,2,1,0,2,23.564835214614874,4.674327540397644
