,fault-losso,fault-knn,fault-svm,fault-xgboost,fault-ensmeble,wafer-auto,wafer-statis,wafer-cnn,wafer-svm,wafer-ensemble,wafer-ensembleLatency,fault-ensembleLatency
0,1,1,1,2,2,0,1,1,0,3,71.46940183639526,2.181172859668732
1,1,1,2,2,1,0,1,1,0,3,7.689090275764466,3.0315186262130736
2,1,1,2,2,2,0,1,1,0,3,71.0070568561554,2.2413665652275085
3,1,2,1,2,1,0,1,1,0,3,7.764656627178192,3.0604859232902526
4,1,2,2,2,2,0,1,1,0,3,26.23180232048035,2.5275408625602718
5,2,1,1,2,1,0,1,1,0,3,37.42535308599472,2.330652475357056
6,2,1,1,2,2,0,1,1,0,3,6.663644206523894,2.4350442409515383
7,2,1,2,2,1,0,1,1,0,3,24.38886317014694,2.3177832484245298
8,2,2,2,2,1,0,1,1,0,3,51.94812622070312,2.0699365854263307
9,1,2,1,2,1,0,1,2,0,3,5.676501858234405,2.484958386421204
10,2,1,1,2,1,0,1,2,0,3,5.019232428073883,2.3344619154930117
11,1,1,2,2,1,0,1,3,0,3,60.50773534774781,2.3976505279541014
12,1,1,2,2,2,0,1,3,0,3,4.958052635192871,2.216108298301697
13,1,2,1,2,2,0,1,3,0,3,72.88423821926116,2.616130840778351
14,1,2,2,2,1,0,1,3,0,3,37.22783778905868,2.4778735399246217
15,1,2,2,2,2,0,1,3,0,3,166.02269127368928,2.2604846715927125
16,2,1,1,2,2,0,1,3,0,3,4.707480776309967,5.650394165515901
17,2,1,2,2,1,0,1,3,0,3,4.9097355008125305,2.204870867729187
18,2,2,1,2,2,0,1,3,0,3,160.25241347551346,2.1715929508209233
19,2,2,2,2,1,0,1,3,0,3,69.84506160020828,2.0877396464347844
20,1,1,1,2,1,0,2,1,0,3,103.53646903038023,3.601895380020141
21,1,1,1,2,2,0,2,1,0,3,63.57771880626679,2.2782285928726203
22,1,1,2,2,1,0,2,1,0,3,31.21629204750061,2.3235322833061223
23,1,2,1,2,1,0,2,1,0,3,70.60427060127259,2.28210027217865
24,2,1,1,2,1,0,2,1,0,3,125.24660464525223,2.197477698326111
25,1,1,1,2,1,0,2,2,0,3,64.56799858808517,2.9240073204040526
26,1,1,1,2,1,0,2,3,0,3,132.81824781894684,3.0132365345954897
27,1,1,1,2,2,0,2,3,0,3,71.56649398803711,2.074413859844208
28,1,1,2,2,1,0,2,3,0,3,137.2451293706894,2.3714492678642274
29,1,1,1,2,2,1,0,1,0,3,158.78173753023148,2.2454655051231383
30,1,1,2,2,1,1,0,1,0,3,49.77875308990478,4.611898767948151
31,1,1,2,2,2,1,0,1,0,3,80.60937086343765,2.870112645626068
32,1,2,2,2,1,1,0,1,0,3,50.042705833911896,5.545996689796448
33,1,2,2,2,2,1,0,1,0,3,54.459361243247976,3.5570158839225767
34,2,1,1,2,2,1,0,1,0,3,50.23581351041794,2.4104494452476497
35,2,1,2,2,1,1,0,1,0,3,49.97702548503876,2.8185907840728768
36,2,2,2,2,1,1,0,1,0,3,50.37990529537201,2.3473866820335387
37,1,1,1,2,1,1,0,2,0,3,49.600089621543894,3.0255459785461425
