,fault-losso,fault-knn,fault-svm,fault-xgboost,fault-ensmeble,wafer-auto,wafer-statis,wafer-cnn,wafer-svm,wafer-ensemble,wafer-ensembleLatency,fault-ensembleLatency
0,1,1,2,2,2,0,1,1,0,1,28.58074190616607,10.050951544443766
1,1,2,1,2,2,0,1,1,0,1,29.573143418629964,9.22360562880834
2,1,2,2,2,1,0,1,1,0,1,30.422616342703506,15.043648886680606
3,1,2,2,2,2,0,1,1,0,1,29.061106550693516,12.537252493699393
4,2,1,1,2,2,0,1,1,0,1,24.124522368113198,2.285722557703654
5,2,1,2,2,1,0,1,1,0,1,26.386101098855338,2.9630854845047003
6,2,1,2,2,2,0,1,1,0,1,24.36132548650106,2.390453549226125
7,2,2,1,2,1,0,1,1,0,1,23.8866192539533,2.3450228333473206
8,2,2,1,2,2,0,1,1,0,1,23.89541308085124,2.126446429888408
9,2,2,2,2,1,0,1,1,0,1,25.836287200450894,2.5075066367785137
10,1,1,1,2,2,0,1,1,0,2,34.07330431938171,2.859022645155589
11,1,1,2,2,1,0,1,1,0,2,33.430643665790555,7.598749669392903
12,1,1,2,2,2,0,1,1,0,2,33.60789329210917,4.648691785335541
13,1,2,1,2,1,0,1,1,0,2,32.12987891435623,8.961762261390685
14,1,2,1,2,2,0,1,1,0,2,32.25092784166336,3.570860330263774
15,1,2,2,2,1,0,1,1,0,2,32.27867563168208,12.831883664925892
16,2,1,1,2,1,0,1,1,0,2,24.75456864039103,2.683350133895874
17,2,1,1,2,2,0,1,1,0,2,26.924926678339638,2.3353305021921797
18,2,1,2,2,1,0,1,1,0,2,26.049484566847482,2.43815016746521
19,2,2,1,2,1,0,1,1,0,2,25.408672980467482,2.6717859745025634
20,1,1,1,2,2,0,1,2,0,1,26.696811163425444,2.237433195114136
21,1,1,2,2,1,0,1,2,0,1,27.2936194896698,5.698178092638653
22,1,2,1,2,1,0,1,2,0,1,27.108172988891607,5.497195104757946
23,2,1,1,2,1,0,1,2,0,1,19.180435184637705,13.010232933362325
24,1,1,1,2,1,0,1,2,0,2,51.20076533555984,4.295832884311676
25,1,1,1,2,2,0,2,1,0,1,13.027471943696339,3.7810003121693927
26,1,1,2,2,1,0,2,1,0,1,12.476988144715627,10.561752514044443
27,1,2,1,2,1,0,2,1,0,1,12.092370371023812,10.620064997673037
28,2,1,1,2,1,0,2,1,0,1,13.44319800933202,2.3854371905326843
29,1,1,1,2,1,0,2,1,0,2,50.038693845272064,6.733642435073852
30,1,1,1,2,1,0,2,2,0,1,13.984605995814006,4.782751850287119
31,1,1,1,2,2,1,1,0,0,2,26.15190130074819,2.9241922458012897
32,1,1,2,2,1,1,1,0,0,2,26.70940891504288,7.151597754160563
33,1,1,2,2,2,1,1,0,0,2,23.054356741905213,4.555372909704844
34,1,2,1,2,1,1,1,0,0,2,31.852352825800576,6.838914926846822
35,1,2,1,2,2,1,1,0,0,2,22.04468251466751,2.873386212189992
36,1,2,2,2,1,1,1,0,0,2,23.662187095483144,9.456217606862387
37,2,1,1,2,1,1,1,0,0,2,20.921903065840407,2.303304735819499
38,2,1,1,2,2,1,1,0,0,2,19.0471475481987,2.359915188948313
39,2,1,2,2,1,1,1,0,0,2,21.755385073026023,2.479067059357961
40,2,2,1,2,1,1,1,0,0,2,20.505565547943114,2.1383023659388223
41,2,0,2,2,2,1,1,1,0,1,24.539403661092123,2.9187871058781942
42,2,2,0,2,2,1,1,1,0,1,24.38044496774673,2.5045412023862204
43,2,2,2,2,0,1,1,1,0,1,24.685211054484054,45.764926612377174
44,1,0,2,2,2,1,1,1,0,2,30.387958618005122,13.326376966635387
45,1,2,0,2,2,1,1,1,0,2,31.5615878979365,17.252281896273296
46,1,2,2,2,0,1,1,1,0,2,30.47879225810369,43.87667308648427
47,2,0,1,2,2,1,1,1,0,2,22.90105325380961,3.486648086706797
48,2,0,2,2,1,1,1,1,0,2,25.34329618612925,2.950150493780772
49,2,1,0,2,2,1,1,1,0,2,23.737195603052772,2.5583718538284304
50,2,1,2,2,0,1,1,1,0,2,23.40852701663971,44.51484486659368
51,2,2,0,2,1,1,1,1,0,2,25.650210237503053,2.59597616593043
52,2,2,1,2,0,1,1,1,0,2,22.310261507829033,44.28768875598907
53,1,0,1,2,2,1,1,2,0,1,39.62956441640854,6.7955645720163975
54,1,0,2,2,1,1,1,2,0,1,25.796513044834136,11.20787746111552
55,1,1,0,2,2,1,1,2,0,1,26.62261097828547,4.3199161728223165
56,1,1,2,2,0,1,1,2,0,1,24.892678010463715,43.426422421137495
57,1,2,0,2,1,1,1,2,0,1,26.603413756688443,11.079706716537476
58,1,2,1,2,0,1,1,2,0,1,24.69286853472392,43.27344087759653
59,2,0,1,2,1,1,1,2,0,1,20.68385073343913,5.154435173670451
60,2,1,0,2,1,1,1,2,0,1,20.958593193689985,5.004860687255858
61,2,1,1,2,0,1,1,2,0,1,19.334001235167182,44.4792828599612
62,1,0,1,2,1,1,1,2,0,2,23.743314667542773,6.649740334351858
63,1,1,0,2,1,1,1,2,0,2,25.298062900702163,8.191067934036255
64,1,1,1,2,0,1,1,2,0,2,24.8980537255605,44.08203069766362
65,1,1,1,2,2,1,2,0,0,1,12.97507929801941,2.227123022079468
66,1,1,2,2,1,1,2,0,0,1,12.584233864148455,8.520004753271737
67,1,2,1,2,1,1,2,0,0,1,12.378245826562244,5.6945791840553275
68,2,1,1,2,1,1,2,0,0,1,13.628726311524705,2.4055010000864665
69,1,1,1,2,1,1,2,0,0,2,10.755513759454093,2.73006276289622
70,1,0,1,2,2,1,2,1,0,1,11.473375137646991,13.914048910140991
71,1,0,2,2,1,1,2,1,0,1,11.60919349193573,19.765632967154183
72,1,1,0,2,2,1,2,1,0,1,10.414190526803337,13.91246503988902
73,1,1,2,2,0,1,2,1,0,1,11.344572027524311,45.32450065612793
74,1,2,0,2,1,1,2,1,0,1,12.490811359882354,22.800863683223724
75,1,2,1,2,0,1,2,1,0,1,11.201443727811176,43.9344381014506
76,2,0,1,2,1,1,2,1,0,1,11.806675267219546,3.868922126293183
77,2,1,0,2,1,1,2,1,0,1,12.809557954470314,4.9838077584902445
78,2,1,1,2,0,1,2,1,0,1,12.778863843282066,44.49409006436665
79,1,0,1,2,1,1,2,1,0,2,11.475729095935822,14.21380870739619
80,1,1,0,2,1,1,2,1,0,2,11.894970377286274,14.821511256694796
81,1,1,1,2,0,1,2,1,0,2,11.763744358221688,44.50491995414098
82,1,1,2,2,1,0,1,1,0,3,31.91374719540278,5.863082722822825
83,1,2,1,2,1,0,1,1,0,3,31.51456586519877,6.425518397490183
84,1,2,2,2,2,0,1,1,0,3,34.08790097236633,6.296700429916383
85,2,1,1,2,1,0,1,1,0,3,57.60275863409042,2.304061535994212
86,2,1,1,2,2,0,1,1,0,3,22.81513987382253,2.356393305460612
87,2,2,2,2,1,0,1,1,0,3,115.6117018977801,2.0501610318819683
88,1,2,1,2,1,0,1,2,0,3,22.40378995339076,2.497453165054321
89,2,1,1,2,1,0,1,2,0,3,19.20681153138479,2.33565198580424
90,1,1,2,2,1,0,1,3,0,3,70.3330807685852,2.4324703375498453
91,1,1,2,2,2,0,1,3,0,3,19.395665979385377,2.161636920770009
92,1,2,2,2,1,0,1,3,0,3,41.389103392759964,4.317387517293295
93,2,1,1,2,2,0,1,3,0,3,15.500670039653778,41.83197792768478
94,2,1,2,2,1,0,1,3,0,3,17.001545282204948,2.168239752451578
95,1,1,1,2,1,0,2,1,0,3,163.9585546016693,5.2028979380925495
96,1,1,2,2,1,0,2,1,0,3,104.3060026367505,2.292360734939576
97,1,2,1,2,1,0,2,1,0,3,155.33561447064082,2.2941351095835367
98,1,2,2,2,1,1,1,0,0,3,101.6022534608841,11.700631105899813
99,1,2,2,2,2,1,1,0,0,3,22.050414880116783,7.733337394396464
100,2,1,1,2,1,1,1,0,0,3,118.22128599484762,2.307527709007263
101,2,1,1,2,2,1,1,0,0,3,18.886092468102774,2.207437531153361
102,2,1,2,2,2,1,1,0,0,3,59.510881745815276,2.2995925108591715
103,2,2,1,2,1,1,1,0,0,3,21.058475410938264,2.1972318887710567
104,1,0,2,2,2,1,1,1,0,3,30.89520504872004,12.688521587848664
105,1,2,0,2,2,1,1,1,0,3,62.00315956672032,6.800835935274759
106,1,2,2,2,0,1,1,1,0,3,59.82770638465881,43.939657640457156
107,1,2,2,2,2,1,1,1,0,3,56.00494499206543,6.766189030806223
108,2,0,1,2,2,1,1,1,0,3,35.155012516180676,2.546859387556712
109,2,0,2,2,1,1,1,1,0,3,68.61398907899857,2.6845760981241864
110,2,0,2,2,2,1,1,1,0,3,53.57153279383977,2.641908558209737
111,2,1,0,2,2,1,1,1,0,3,25.05173783699671,4.419934074083963
112,2,1,2,2,0,1,1,1,0,3,31.23681296110153,45.518476196130116
113,2,1,2,2,2,1,1,1,0,3,39.48643388350805,2.2974126537640887
114,2,2,0,2,1,1,1,1,0,3,78.40862957636516,2.4707640409469604
115,2,2,0,2,2,1,1,1,0,3,62.01024560530981,2.5571411569913227
116,2,2,1,2,0,1,1,1,0,3,38.059756743907926,45.30672159592311
117,2,2,1,2,2,1,1,1,0,3,30.244115598996483,2.1750576059023543
118,2,2,2,2,0,1,1,1,0,3,21.703179049491887,45.2242283264796
119,1,0,2,2,1,1,1,2,0,3,23.40712942282359,9.853814752896627
120,1,2,0,2,1,1,1,2,0,3,22.570949002106985,9.947581700483958
121,1,2,1,2,0,1,1,2,0,3,22.521693301200862,44.13764288028081
122,2,0,1,2,1,1,1,2,0,3,18.089507389068604,4.978605381647745
123,1,0,1,2,1,1,1,3,0,3,20.255905159314477,5.605641714731852
124,1,0,1,2,2,1,1,3,0,3,20.895352764924368,5.075553445021312
125,1,0,2,2,1,1,1,3,0,3,18.95597080787023,20.587079298496246
126,1,0,2,2,2,1,1,3,0,3,19.78158575296402,7.1909158190091444
127,1,1,0,2,1,1,1,3,0,3,23.34760751724243,7.473124444484711
128,1,1,0,2,2,1,1,3,0,3,20.947063652674355,5.145510546366373
129,1,1,1,2,0,1,1,3,0,3,60.07348003387451,42.893547304471326
130,1,1,1,2,2,1,1,3,0,3,40.34627461036046,2.4503732522328696
131,1,1,2,2,0,1,1,3,0,3,39.58625616629919,44.12231448888779
132,1,1,2,2,1,1,1,3,0,3,50.31757160822551,6.353036749362945
133,1,1,2,2,2,1,1,3,0,3,75.77062392632166,2.2000853856404623
134,1,2,0,2,1,1,1,3,0,3,84.78174084424974,2.7758169849713643
135,1,2,0,2,2,1,1,3,0,3,56.4014330903689,3.5656434694925943
136,1,2,1,2,0,1,1,3,0,3,29.692278246084854,43.383099472522744
137,1,2,1,2,1,1,1,3,0,3,29.04797495603561,6.728459016482035
138,1,2,1,2,2,1,1,3,0,3,40.348874386151635,4.08824960788091
139,1,2,2,2,0,1,1,3,0,3,124.15783629417419,43.70219715833664
140,1,2,2,2,1,1,1,3,0,3,89.70566037495932,2.508096659183502
141,1,2,2,2,2,1,1,3,0,3,82.83047291835149,2.2655148267745973
142,2,0,1,2,1,1,1,3,0,3,75.08815805117291,2.717937771479289
143,2,0,1,2,2,1,1,3,0,3,54.290644955635074,2.6891417702039084
144,2,0,2,2,1,1,1,3,0,3,21.2354136745135,2.7332176208496093
145,2,0,2,2,2,1,1,3,0,3,45.11893030405046,2.6862453659375505
146,2,1,0,2,1,1,1,3,0,3,80.29659866491953,2.5331753730773925
147,2,1,0,2,2,1,1,3,0,3,61.765685101350144,2.5011382579803465
148,2,1,1,2,0,1,1,3,0,3,23.911140100161234,44.13634258906047
149,2,1,1,2,1,1,1,3,0,3,29.336278144518534,2.303262297312419
150,2,1,1,2,2,1,1,3,0,3,33.25393153031667,2.224156280358633
151,2,1,2,2,0,1,1,3,0,3,91.31464235782623,45.12610516548157
152,2,1,2,2,1,1,1,3,0,3,70.08404195706049,2.123107492923737
153,2,1,2,2,2,1,1,3,0,3,71.7033000032107,2.301613195737203
154,2,2,0,2,1,1,1,3,0,3,26.16761771440506,2.487666964530945
155,2,2,0,2,2,1,1,3,0,3,16.36748601992925,2.509682051340739
156,2,2,1,2,0,1,1,3,0,3,41.996330543359115,44.626540744304656
157,2,2,1,2,1,1,1,3,0,3,100.00533053874969,2.0281194011370345
158,2,2,1,2,2,1,1,3,0,3,77.83763014872869,2.1637626051902767
159,2,2,2,2,0,1,1,3,0,3,58.439735162258145,44.743122657140106
160,2,2,2,2,1,1,1,3,0,3,32.23918035825093,2.126773750782013
161,1,1,1,2,1,1,2,0,0,3,102.03719838460285,5.459744819005331
162,1,1,2,2,1,1,2,0,0,3,73.07334283987682,3.0000766674677526
163,2,1,1,2,1,1,2,0,0,3,25.45875394741694,23.68812994559606
164,1,0,1,2,1,1,2,1,0,3,10.412328294912976,13.037135215600333
165,1,0,1,2,2,1,2,1,0,3,10.277438747882844,9.784186398983001
166,1,0,2,2,1,1,2,1,0,3,24.22109303077062,29.04154918988546
167,1,1,0,2,1,1,2,1,0,3,10.76583136320114,13.002456510066983
168,1,1,0,2,2,1,2,1,0,3,11.155539166927335,10.962316056092579
169,1,1,1,2,0,1,2,1,0,3,10.436264355977377,45.428504153092696
