,CpuPercent,Latency
0,0.75,0.18462564945220947
0,0.75,0.18462564945220947
1,1.0,0.17782168388366698
0,0.75,0.18462564945220947
1,1.0,0.17782168388366698
2,0.75,0.18654488325119017
0,0.75,0.18462564945220947
1,1.0,0.17782168388366698
2,0.75,0.18654488325119017
3,1.0,0.17579779624938965
0,0.75,0.18462564945220947
1,1.0,0.17782168388366698
2,0.75,0.18654488325119017
3,1.0,0.17579779624938965
4,1.0,0.17219281196594238
0,0.75,0.18462564945220947
1,1.0,0.17782168388366698
2,0.75,0.18654488325119017
3,1.0,0.17579779624938965
4,1.0,0.17219281196594238
5,0.75,0.17116870880126953
0,0.75,0.18462564945220947
1,1.0,0.17782168388366698
2,0.75,0.18654488325119017
3,1.0,0.17579779624938965
4,1.0,0.17219281196594238
5,0.75,0.17116870880126953
6,1.0,0.1804620385169983
0,0.75,0.18462564945220947
1,1.0,0.17782168388366698
2,0.75,0.18654488325119017
3,1.0,0.17579779624938965
4,1.0,0.17219281196594238
5,0.75,0.17116870880126953
6,1.0,0.1804620385169983
7,1.0,0.17540870904922484
0,0.75,0.18462564945220947
1,1.0,0.17782168388366698
2,0.75,0.18654488325119017
3,1.0,0.17579779624938965
4,1.0,0.17219281196594238
5,0.75,0.17116870880126953
6,1.0,0.1804620385169983
7,1.0,0.17540870904922484
8,0.83,0.16897177696228027
0,0.75,0.18462564945220947
1,1.0,0.17782168388366698
2,0.75,0.18654488325119017
3,1.0,0.17579779624938965
4,1.0,0.17219281196594238
5,0.75,0.17116870880126953
6,1.0,0.1804620385169983
7,1.0,0.17540870904922484
8,0.83,0.16897177696228027
9,1.0,0.1672910451889038
0,1.0,0.17950754165649413
0,1.0,0.17950754165649413
1,0.75,0.19170602560043334
0,1.0,0.17950754165649413
1,0.75,0.19170602560043334
2,1.0,0.18671241998672486
0,1.0,0.17950754165649413
1,0.75,0.19170602560043334
2,1.0,0.18671241998672486
3,1.0,0.1871963381767273
0,1.0,0.17950754165649413
1,0.75,0.19170602560043334
2,1.0,0.18671241998672486
3,1.0,0.1871963381767273
4,0.83,0.18765089511871338
0,1.0,0.17950754165649413
1,0.75,0.19170602560043334
2,1.0,0.18671241998672486
3,1.0,0.1871963381767273
4,0.83,0.18765089511871338
5,1.0,0.20275020599365234
0,1.0,0.17950754165649413
1,0.75,0.19170602560043334
2,1.0,0.18671241998672486
3,1.0,0.1871963381767273
4,0.83,0.18765089511871338
5,1.0,0.20275020599365234
6,1.0,0.18570029735565186
0,1.0,0.17950754165649413
1,0.75,0.19170602560043334
2,1.0,0.18671241998672486
3,1.0,0.1871963381767273
4,0.83,0.18765089511871338
5,1.0,0.20275020599365234
6,1.0,0.18570029735565186
7,0.83,0.17249009609222413
0,1.0,0.17950754165649413
