,CpuPercent,Latency
0,1.0,0.10025191307067871
1,0.75,0.399510931968689
0,1.0,0.10977327823638916
1,0.75,0.39656801223754884
0,1.0,0.10977327823638916
1,0.75,0.39656801223754884
2,1.0,0.10065665245056152
3,0.92,0.14483928680419922
4,1.0,0.10159575939178467
5,0.75,0.3981185436248779
0,1.0,0.10977327823638916
1,0.75,0.39656801223754884
2,1.0,0.10065665245056152
3,0.92,0.14483928680419922
4,1.0,0.10159575939178467
5,0.75,0.3981185436248779
6,1.0,0.10173511505126953
7,0.75,0.39644100666046145
0,1.0,0.14812769889831542
1,0.88,0.10361402034759522
2,0.75,0.39850454330444335
0,1.0,0.14812769889831542
1,0.88,0.10361402034759522
2,0.75,0.39850454330444335
3,0.88,0.10520119667053222
4,0.75,0.3988345146179199
0,1.0,0.14812769889831542
1,0.88,0.10361402034759522
2,0.75,0.39850454330444335
3,0.88,0.10520119667053222
4,0.75,0.3988345146179199
5,1.0,0.1336965560913086
6,1.0,0.14102792739868164
7,0.75,0.3966823577880859
0,1.0,0.14986896514892578
1,0.75,0.39808719158172606
0,1.0,0.16852283477783203
1,0.88,0.0984879732131958
2,0.75,0.3984475374221802
0,1.0,0.16852283477783203
1,0.88,0.0984879732131958
2,0.75,0.3984475374221802
3,0.88,0.09695425033569335
4,0.75,0.3973670721054077
0,1.0,0.16852283477783203
1,0.88,0.0984879732131958
2,0.75,0.3984475374221802
3,0.88,0.09695425033569335
4,0.75,0.3973670721054077
5,1.0,0.15304136276245117
6,1.0,0.1692136287689209
7,0.75,0.3990130662918091
0,1.0,0.15243844985961913
1,0.75,0.39745867252349854
0,0.75,0.10861797332763672
1,0.75,0.39694168567657473
0,0.75,0.10861797332763672
1,0.75,0.39694168567657473
2,0.75,0.09781191349029542
3,1.0,0.10564424991607665
4,0.92,0.13576018810272217
5,0.75,0.09873042106628419
6,1.0,0.10008792877197266
7,0.75,0.3974104642868042
0,0.75,0.10861797332763672
1,0.75,0.39694168567657473
2,0.75,0.09781191349029542
3,1.0,0.10564424991607665
4,0.92,0.13576018810272217
5,0.75,0.09873042106628419
6,1.0,0.10008792877197266
7,0.75,0.3974104642868042
8,0.75,0.10247621536254883
9,1.0,0.09939422607421874
10,0.75,0.39615166187286377
0,0.75,0.10861797332763672
1,0.75,0.39694168567657473
2,0.75,0.09781191349029542
3,1.0,0.10564424991607665
4,0.92,0.13576018810272217
5,0.75,0.09873042106628419
6,1.0,0.10008792877197266
7,0.75,0.3974104642868042
8,0.75,0.10247621536254883
9,1.0,0.09939422607421874
10,0.75,0.39615166187286377
11,0.75,0.3963796854019165
0,0.83,0.12970576286315919
1,0.88,0.10783963203430176
2,0.75,0.3964046239852905
0,0.83,0.12970576286315919
1,0.88,0.10783963203430176
2,0.75,0.3964046239852905
3,0.83,0.13066375255584717
4,0.83,0.13550724983215331
5,0.75,0.3963747262954712
0,1.0,0.13683476448059081
1,0.83,0.15075290203094482
2,0.5,0.1269521474838257
3,0.75,0.10671477317810059
4,0.75,0.3974379777908325
0,1.0,0.13683476448059081
1,0.83,0.15075290203094482
2,0.5,0.1269521474838257
3,0.75,0.10671477317810059
4,0.75,0.3974379777908325
5,0.75,0.3970973491668701
0,1.0,0.13683476448059081
1,0.83,0.15075290203094482
2,0.5,0.1269521474838257
3,0.75,0.10671477317810059
4,0.75,0.3974379777908325
5,0.75,0.3970973491668701
6,1.0,0.13837046623229982
7,1.0,0.13614609241485595
8,0.5,0.1275770902633667
9,0.5,0.129540753364563
10,0.75,0.11375532150268555
11,0.75,0.39686663150787355
0,1.0,0.13683476448059081
1,0.83,0.15075290203094482
2,0.5,0.1269521474838257
3,0.75,0.10671477317810059
4,0.75,0.3974379777908325
5,0.75,0.3970973491668701
6,1.0,0.13837046623229982
7,1.0,0.13614609241485595
8,0.5,0.1275770902633667
9,0.5,0.129540753364563
10,0.75,0.11375532150268555
11,0.75,0.39686663150787355
12,0.75,0.39710431098937987
0,1.0,0.13683476448059081
1,0.83,0.15075290203094482
2,0.5,0.1269521474838257
3,0.75,0.10671477317810059
4,0.75,0.3974379777908325
5,0.75,0.3970973491668701
6,1.0,0.13837046623229982
7,1.0,0.13614609241485595
8,0.5,0.1275770902633667
9,0.5,0.129540753364563
10,0.75,0.11375532150268555
11,0.75,0.39686663150787355
12,0.75,0.39710431098937987
13,0.83,0.11653704643249511
14,1.0,0.15964100360870362
15,0.83,0.1330740213394165
16,0.75,0.09971385002136231
17,0.75,0.10270478725433349
18,1.0,0.10076062679290772
19,0.83,0.11223716735839843
20,0.67,0.1053302526473999
21,0.75,0.09915368556976319
22,1.0,0.09878437519073487
23,0.75,0.3969513177871704
0,1.0,0.13683476448059081
1,0.83,0.15075290203094482
2,0.5,0.1269521474838257
3,0.75,0.10671477317810059
4,0.75,0.3974379777908325
5,0.75,0.3970973491668701
6,1.0,0.13837046623229982
7,1.0,0.13614609241485595
8,0.5,0.1275770902633667
9,0.5,0.129540753364563
10,0.75,0.11375532150268555
11,0.75,0.39686663150787355
12,0.75,0.39710431098937987
13,0.83,0.11653704643249511
14,1.0,0.15964100360870362
15,0.83,0.1330740213394165
16,0.75,0.09971385002136231
17,0.75,0.10270478725433349
18,1.0,0.10076062679290772
19,0.83,0.11223716735839843
20,0.67,0.1053302526473999
21,0.75,0.09915368556976319
22,1.0,0.09878437519073487
23,0.75,0.3969513177871704
24,0.75,0.39790093898773193
0,1.0,0.13683476448059081
1,0.83,0.15075290203094482
2,0.5,0.1269521474838257
3,0.75,0.10671477317810059
4,0.75,0.3974379777908325
5,0.75,0.3970973491668701
6,1.0,0.13837046623229982
7,1.0,0.13614609241485595
8,0.5,0.1275770902633667
9,0.5,0.129540753364563
10,0.75,0.11375532150268555
11,0.75,0.39686663150787355
12,0.75,0.39710431098937987
13,0.83,0.11653704643249511
14,1.0,0.15964100360870362
15,0.83,0.1330740213394165
16,0.75,0.09971385002136231
17,0.75,0.10270478725433349
18,1.0,0.10076062679290772
19,0.83,0.11223716735839843
20,0.67,0.1053302526473999
21,0.75,0.09915368556976319
22,1.0,0.09878437519073487
23,0.75,0.3969513177871704
24,0.75,0.39790093898773193
25,0.83,0.12317347526550293
26,1.0,0.13719255924224855
27,0.83,0.12923886775970458
28,0.75,0.10254032611846924
29,0.75,0.09953229427337647
30,1.0,0.099900221824646
31,0.75,0.3985985279083252
0,1.0,0.13683476448059081
1,0.83,0.15075290203094482
2,0.5,0.1269521474838257
3,0.75,0.10671477317810059
4,0.75,0.3974379777908325
5,0.75,0.3970973491668701
6,1.0,0.13837046623229982
7,1.0,0.13614609241485595
8,0.5,0.1275770902633667
9,0.5,0.129540753364563
10,0.75,0.11375532150268555
11,0.75,0.39686663150787355
12,0.75,0.39710431098937987
13,0.83,0.11653704643249511
14,1.0,0.15964100360870362
15,0.83,0.1330740213394165
16,0.75,0.09971385002136231
17,0.75,0.10270478725433349
18,1.0,0.10076062679290772
19,0.83,0.11223716735839843
20,0.67,0.1053302526473999
21,0.75,0.09915368556976319
22,1.0,0.09878437519073487
23,0.75,0.3969513177871704
24,0.75,0.39790093898773193
25,0.83,0.12317347526550293
26,1.0,0.13719255924224855
27,0.83,0.12923886775970458
28,0.75,0.10254032611846924
29,0.75,0.09953229427337647
30,1.0,0.099900221824646
31,0.75,0.3985985279083252
32,0.75,0.39814302921295164
0,1.0,0.17894232273101807
1,0.83,0.15498101711273193
2,0.88,0.09702892303466797
3,0.75,0.39682860374450685
0,1.0,0.17894232273101807
1,0.83,0.15498101711273193
2,0.88,0.09702892303466797
3,0.75,0.39682860374450685
4,0.75,0.39630827903747556
