,CpuPercent,Latency
0,1.0,0.8548164188861846
1,1.0,0.7819325029850006
2,1.0,0.8645790636539459
3,0.83,0.8233831703662873
4,0.75,0.5126963138580323
0,1.0,0.8548164188861846
1,1.0,0.7819325029850006
2,1.0,0.8645790636539459
3,0.83,0.8233831703662873
4,0.75,0.5126963138580323
5,0.75,0.4619167327880859
0,1.0,0.8548164188861846
1,1.0,0.7819325029850006
2,1.0,0.8645790636539459
3,0.83,0.8233831703662873
4,0.75,0.5126963138580323
5,0.75,0.4619167327880859
6,1.0,0.5457939863204956
0,1.0,0.8548164188861846
1,1.0,0.7819325029850006
2,1.0,0.8645790636539459
3,0.83,0.8233831703662873
4,0.75,0.5126963138580323
5,0.75,0.4619167327880859
6,1.0,0.5457939863204956
7,0.75,0.4904123067855835
0,1.0,0.8548164188861846
1,1.0,0.7819325029850006
2,1.0,0.8645790636539459
3,0.83,0.8233831703662873
4,0.75,0.5126963138580323
5,0.75,0.4619167327880859
6,1.0,0.5457939863204956
7,0.75,0.4904123067855835
8,1.0,0.5208314299583435
0,1.0,0.8548164188861846
1,1.0,0.7819325029850006
2,1.0,0.8645790636539459
3,0.83,0.8233831703662873
4,0.75,0.5126963138580323
5,0.75,0.4619167327880859
6,1.0,0.5457939863204956
7,0.75,0.4904123067855835
8,1.0,0.5208314299583435
9,1.0,0.4758751213550568
0,1.0,0.6716901242733002
1,1.0,0.7496480464935302
2,0.83,0.6906136274337769
3,1.0,0.7576033711433411
4,0.83,0.639330017566681
5,0.83,0.8133378326892853
6,0.75,0.4746564984321594
0,1.0,0.6716901242733002
1,1.0,0.7496480464935302
2,0.83,0.6906136274337769
3,1.0,0.7576033711433411
4,0.83,0.639330017566681
5,0.83,0.8133378326892853
6,0.75,0.4746564984321594
7,1.0,0.5321632564067841
0,1.0,0.6716901242733002
1,1.0,0.7496480464935302
2,0.83,0.6906136274337769
3,1.0,0.7576033711433411
4,0.83,0.639330017566681
5,0.83,0.8133378326892853
6,0.75,0.4746564984321594
7,1.0,0.5321632564067841
8,1.0,0.4787984073162079
0,1.0,0.6716901242733002
1,1.0,0.7496480464935302
2,0.83,0.6906136274337769
3,1.0,0.7576033711433411
4,0.83,0.639330017566681
5,0.83,0.8133378326892853
6,0.75,0.4746564984321594
7,1.0,0.5321632564067841
8,1.0,0.4787984073162079
9,1.0,0.4824365317821503
0,0.92,0.6442906558513641
1,0.92,0.6767181098461151
2,0.92,0.6835750639438629
3,0.88,0.7742940604686737
0,0.92,0.6763786673545837
1,0.92,0.8111077666282653
2,0.92,0.7914285600185395
3,0.88,0.5129183292388916
0,1.0,0.8669858336448669
1,1.0,0.844770860671997
2,1.0,1.005655539035797
3,0.83,0.956362646818161
4,0.75,0.5103357613086701
0,1.0,0.8669858336448669
1,1.0,0.844770860671997
2,1.0,1.005655539035797
3,0.83,0.956362646818161
4,0.75,0.5103357613086701
5,0.75,0.4783814072608948
0,1.0,0.8669858336448669
1,1.0,0.844770860671997
2,1.0,1.005655539035797
3,0.83,0.956362646818161
4,0.75,0.5103357613086701
5,0.75,0.4783814072608948
6,1.0,0.5706822574138641
0,1.0,0.8669858336448669
1,1.0,0.844770860671997
2,1.0,1.005655539035797
3,0.83,0.956362646818161
4,0.75,0.5103357613086701
5,0.75,0.4783814072608948
6,1.0,0.5706822574138641
7,0.75,0.47750566005706785
0,1.0,0.8669858336448669
1,1.0,0.844770860671997
2,1.0,1.005655539035797
3,0.83,0.956362646818161
4,0.75,0.5103357613086701
5,0.75,0.4783814072608948
6,1.0,0.5706822574138641
7,0.75,0.47750566005706785
8,1.0,0.5227280557155609
0,1.0,0.8669858336448669
1,1.0,0.844770860671997
2,1.0,1.005655539035797
3,0.83,0.956362646818161
4,0.75,0.5103357613086701
5,0.75,0.4783814072608948
6,1.0,0.5706822574138641
7,0.75,0.47750566005706785
8,1.0,0.5227280557155609
9,1.0,0.4731488049030304
0,1.0,0.80402592420578
1,1.0,0.9071164131164551
2,0.83,0.8676061391830444
3,1.0,0.9698876738548279
4,0.83,0.8510343134403229
5,0.83,0.9294074773788452
6,0.75,0.4704923152923584
0,1.0,0.80402592420578
1,1.0,0.9071164131164551
2,0.83,0.8676061391830444
3,1.0,0.9698876738548279
4,0.83,0.8510343134403229
5,0.83,0.9294074773788452
6,0.75,0.4704923152923584
7,1.0,0.5079545617103577
0,1.0,0.80402592420578
1,1.0,0.9071164131164551
2,0.83,0.8676061391830444
3,1.0,0.9698876738548279
4,0.83,0.8510343134403229
5,0.83,0.9294074773788452
6,0.75,0.4704923152923584
7,1.0,0.5079545617103577
8,1.0,0.4707571446895599
0,1.0,0.80402592420578
1,1.0,0.9071164131164551
2,0.83,0.8676061391830444
3,1.0,0.9698876738548279
4,0.83,0.8510343134403229
5,0.83,0.9294074773788452
6,0.75,0.4704923152923584
7,1.0,0.5079545617103577
