,losso,knn,svm,ensemble
0,1,1,1,2
1,1,1,2,1
2,1,1,2,2
3,1,2,1,1
4,1,2,1,2
5,1,2,2,1
6,2,1,1,1
7,2,1,1,2
8,2,1,2,1
9,2,2,1,1
