,losso,knn,svm,ensemble
0,0,1,1,2
1,0,1,2,1
2,0,2,1,1
3,1,0,1,2
4,1,0,2,1
5,1,1,0,2
6,1,1,2,0
7,1,2,0,1
8,1,2,1,0
9,2,0,1,1
10,2,1,0,1
11,2,1,1,0
