,losso,knn,svm,ensemble
0,0,1,1,1
1,0,1,1,2
2,0,1,1,3
3,0,1,2,1
4,0,1,2,2
5,0,1,2,3
6,0,1,3,3
7,0,2,1,1
8,0,2,1,2
9,0,2,1,3
10,0,2,2,1
11,0,2,2,2
12,0,2,2,3
13,0,2,3,3
14,0,3,1,3
15,0,3,2,3
16,0,3,3,3
17,1,0,1,1
18,1,0,1,2
19,1,0,1,3
20,1,0,2,1
21,1,0,2,2
22,1,0,2,3
23,1,0,3,3
24,1,1,0,1
25,1,1,0,2
26,1,1,0,3
27,1,1,1,0
28,1,1,1,1
29,1,1,1,2
30,1,1,1,3
31,1,1,2,0
32,1,1,2,1
33,1,1,2,2
34,1,1,2,3
35,1,1,3,3
36,1,2,0,1
37,1,2,0,2
38,1,2,0,3
39,1,2,1,0
40,1,2,1,1
41,1,2,1,2
42,1,2,1,3
43,1,2,2,0
44,1,2,2,1
45,1,2,2,2
46,1,2,2,3
47,1,2,3,3
48,1,3,0,3
49,1,3,1,3
50,1,3,2,3
51,1,3,3,3
52,2,0,1,1
53,2,0,1,2
54,2,0,1,3
55,2,0,2,1
56,2,0,2,2
57,2,0,2,3
58,2,0,3,3
59,2,1,0,1
60,2,1,0,2
61,2,1,0,3
62,2,1,1,0
63,2,1,1,1
64,2,1,1,2
65,2,1,1,3
66,2,1,2,0
67,2,1,2,1
68,2,1,2,2
69,2,1,2,3
70,2,1,3,3
71,2,2,0,1
72,2,2,0,2
73,2,2,0,3
74,2,2,1,0
75,2,2,1,1
76,2,2,1,2
77,2,2,1,3
78,2,2,2,0
79,2,2,2,1
80,2,2,2,3
81,2,2,3,3
82,2,3,0,3
83,2,3,1,3
84,2,3,2,3
85,2,3,3,3
