,losso,knn,svm,ensemble
0,0,1,2,2
1,0,1,2,3
2,0,1,3,3
3,0,2,1,2
4,0,2,1,3
5,0,2,2,1
6,0,2,2,2
7,0,2,2,3
8,0,2,3,3
9,0,3,1,3
10,0,3,2,3
11,0,3,3,3
12,1,0,2,2
13,1,0,2,3
14,1,0,3,3
15,1,2,0,2
16,1,2,0,3
17,1,2,2,0
18,1,2,2,2
19,1,2,2,3
20,1,2,3,3
21,1,3,0,3
22,1,3,2,3
23,1,3,3,3
24,2,0,1,2
25,2,0,1,3
26,2,0,2,1
27,2,0,2,2
28,2,0,2,3
29,2,0,3,3
30,2,1,0,2
31,2,1,0,3
32,2,1,2,0
33,2,1,2,2
34,2,1,2,3
35,2,1,3,3
36,2,2,0,1
37,2,2,0,2
38,2,2,0,3
39,2,2,1,0
40,2,2,1,2
41,2,2,1,3
42,2,2,2,0
43,2,2,2,1
44,2,2,2,3
45,2,2,3,3
46,2,3,0,3
47,2,3,1,3
48,2,3,2,3
49,2,3,3,3
